time,observed_speed,target_speed,observed_distance
1711027920.679703,0.16911188318576223,0.25,0.0
1711027920.710411,0.09724333144835383,0.25,0.0
1711027920.773678,0.1856809371301746,0.25,0.0
1711027920.820508,0.32186398930100907,0.25,0.0
1711027920.882954,0.4491926371620202,0.25,0.0
1711027920.92943,0.4190594620208928,0.25,0.009999999999999787
1711027920.961374,0.3295189501309968,0.25,0.009999999999999787
1711027921.022539,0.21157840334772107,0.25,0.009999999999999787
1711027921.069304,0.1110259950605133,0.25,0.009999999999999787
1711027921.131303,0.14275914466084072,0.25,0.009999999999999787
1711027921.178597,0.26613216631843606,0.25,0.009999999999999787
1711027921.224691,0.40673213768839994,0.25,0.009999999999999787
1711027921.271452,0.5028753730434375,0.25,0.009999999999999787
1711027921.317768,0.4381693438722435,0.25,0.009999999999999787
1711027921.380709,0.31914345827279683,0.25,0.009999999999999787
1711027921.427867,0.20141508634688546,0.25,0.009999999999999787
1711027921.490335,0.0905091371761981,0.25,0.0
1711027921.52238,0.16733193514898298,0.25,0.0
1711027921.569481,0.268387926322473,0.25,0.0
1711027921.615864,0.3965339974494185,0.25,0.0
1711027921.678436,0.41263060430097953,0.25,0.0
1711027921.725463,0.2939498237325359,0.25,0.0
1711027921.77185,0.17636882311681412,0.25,0.0
1711027921.833593,0.09927075126456927,0.25,0.0
1711027921.864315,0.17850160861304262,0.25,0.010000000000000675
1711027921.926805,0.31266206650622885,0.25,0.010000000000000675
1711027921.974018,0.4301192114058813,0.25,0.010000000000000675
1711027922.020354,0.4847763740325971,0.25,0.010000000000000675
1711027922.081511,0.37909570824884425,0.25,0.010000000000000675
1711027922.128545,0.26097605712363575,0.25,0.010000000000000675
1711027922.17529,0.1434982713368807,0.25,0.010000000000000675
1711027922.237717,0.09423430020576347,0.25,0.0
1711027922.269295,0.23287136571952194,0.25,0.0
1711027922.316576,0.3740146689374964,0.25,0.0
1711027922.376678,0.48303924693109895,0.25,0.020000000000000462
1711027922.423608,0.4106313171221519,0.25,0.020000000000000462
1711027922.485373,0.292028211864354,0.25,0.020000000000000462
1711027922.531474,0.17477041845271493,0.25,0.020000000000000462
1711027922.578772,0.07018856073478132,0.25,0.020000000000000462
1711027922.639503,0.12177754420958611,0.25,0.020000000000000462
1711027922.670722,0.2630729291328829,0.25,0.03000000000000025
1711027922.717786,0.40386947337789386,0.25,0.03000000000000025
1711027922.764547,0.4427557288775869,0.25,0.03000000000000025
1711027922.826537,0.35720635180299887,0.25,0.03000000000000025
1711027922.873319,0.23932219257935017,0.25,0.03000000000000025
1711027922.920442,0.1220311745455155,0.25,0.019999999999999574
1711027922.982968,0.11959951550021922,0.25,0.019999999999999574
1711027923.030557,0.25806312967590356,0.25,0.019999999999999574
1711027923.077599,0.3991404062025643,0.25,0.019999999999999574
1711027923.139703,0.47085776900779935,0.25,0.019999999999999574
1711027923.171288,0.4118463238239135,0.25,0.019999999999999574
1711027923.217835,0.2935238284109882,0.25,0.019999999999999574
1711027923.264261,0.1763790340908678,0.25,0.019999999999999574
1711027923.325632,0.14121509329257034,0.25,0.019999999999999574
1711027923.373614,0.2549059366115413,0.25,0.019999999999999574
1711027923.420344,0.3762987818944677,0.25,0.019999999999999574
1711027923.482452,0.449971669478531,0.25,0.019999999999999574
1711027923.529272,0.3679186454929155,0.25,0.0
1711027923.576908,0.25004690690815784,0.25,0.0
1711027923.624088,0.13287840433225487,0.25,0.0
1711027923.670548,0.14520993491076817,0.25,0.0
1711027923.717874,0.23149280095504346,0.25,0.0
1711027923.764556,0.37317140756454475,0.25,0.0
1711027923.82734,0.4415421682073895,0.25,0.0
1711027923.874571,0.3378214757992892,0.25,0.0
1711027923.922033,0.2203162603162426,0.25,0.0
1711027923.984607,0.10963762814370367,0.25,0.0
1711027924.015885,0.13043394619838505,0.25,0.0
1711027924.062555,0.23455603630843655,0.25,0.0
1711027924.123644,0.3761310872413011,0.25,0.0
1711027924.170484,0.4417379487156713,0.25,-0.009999999999999787
1711027924.21702,0.36830029455211283,0.25,-0.009999999999999787
1711027924.279506,0.25046707918184585,0.25,-0.009999999999999787
1711027924.326854,0.1333610351145662,0.25,-0.009999999999999787
1711027924.373744,0.04026126206206862,0.25,-0.009999999999999787
1711027924.436746,0.1322678654537418,0.25,-0.009999999999999787
1711027924.467878,0.27482623729280004,0.25,-0.009999999999999787
1711027924.531415,0.41581686140363405,0.25,-0.009999999999999787
1711027924.577732,0.4440564050465511,0.25,-0.009999999999999787
1711027924.638719,0.39317379120205487,0.25,-0.009999999999999787
1711027924.685599,0.2753491168540108,0.25,-0.009999999999999787
1711027924.717139,0.15837283960881066,0.25,-0.009999999999999787
1711027924.779686,0.11721894646191147,0.25,-0.009999999999999787
1711027924.826437,0.21831991879148901,0.25,-0.009999999999999787
1711027924.872718,0.3562483273467732,0.25,-0.009999999999999787
1711027924.935569,0.4370558061549333,0.25,-0.009999999999999787
1711027924.982599,0.370369280737869,0.25,-0.009999999999999787
1711027925.029336,0.25256912076217314,0.25,0.0
1711027925.07627,0.13561504482220685,0.25,0.0
1711027925.122674,0.06591838369074268,0.25,0.0
1711027925.18633,0.18312612500352887,0.25,0.0
1711027925.232654,0.3252182998110388,0.25,0.0
1711027925.279168,0.46201111060918526,0.25,0.0
1711027925.32659,0.4697754416337177,0.25,0.0
1711027925.372431,0.37090878873964456,0.25,0.0
1711027925.420693,0.2534784255914272,0.25,0.0
1711027925.482476,0.13645597519963706,0.25,0.0
1711027925.528783,0.11927489961870984,0.25,0.0
1711027925.576117,0.15276235146732736,0.25,0.0
1711027925.622738,0.29506583858370633,0.25,0.0
1711027925.685354,0.43620575049186583,0.25,0.0
1711027925.730393,0.4455960785428322,0.25,0.0
1711027925.776814,0.3894848169505706,0.25,0.0
1711027925.82362,0.2720980314322007,0.25,0.0
1711027925.886469,0.15528345511939157,0.25,0.0
1711027925.933748,0.13828201834356685,0.25,0.0
1711027925.980655,0.1502178398742683,0.25,0.0
1711027926.042323,0.2911876281689235,0.25,0.0
1711027926.073668,0.4324343722997491,0.25,-0.009999999999999787
1711027926.120333,0.5198970575346047,0.25,-0.009999999999999787
1711027926.182235,0.4387874182469455,0.25,-0.009999999999999787
1711027926.213296,0.3206941257146355,0.25,-0.009999999999999787
1711027926.275757,0.20373344651062572,0.25,-0.009999999999999787
1711027926.337995,0.11345132788555123,0.25,0.0
1711027926.370333,0.15663625097715533,0.25,0.0
1711027926.432371,0.2829916280335878,0.25,0.0
1711027926.478568,0.4216385187755312,0.25,0.0
1711027926.541829,0.5426390599365354,0.25,0.0
1711027926.573453,0.43377651800503475,0.25,0.0
1711027926.620622,0.3157378369286168,0.25,0.0
1711027926.682481,0.19886278916147485,0.25,0.0
1711027926.713891,0.11399857718775579,0.25,0.0
1711027926.776477,0.16372296075795775,0.25,0.0
1711027926.838623,0.29165099569132447,0.25,0.0
1711027926.869695,0.42380718354764224,0.25,0.0
1711027926.932034,0.43236580391311075,0.25,0.0
